accident_year,weekNum,count
1985,50,5140
1985,51,5359
1985,52,3253
1986,1,4457
1986,2,5054
1986,3,4340
1986,4,4714
1986,5,4557
1986,6,4412
1986,7,4299
1986,8,4034
1986,9,4229
1986,10,4750
1986,11,4696
1986,12,4530
1986,13,4516
1986,14,4303
1986,15,4999
1986,16,4604
1986,17,4531
1986,18,4313
1986,19,4817
1986,20,5305
1986,21,4908
1986,22,4653
1986,23,4547
1986,24,5171
1986,25,4609
1986,26,4699
1986,27,4515
1986,28,4748
1986,29,4767
1986,30,4644
1986,31,4626
1986,32,4562
1986,33,5043
1986,34,5022
1986,35,4531
1986,36,3827
1986,37,4846
1986,38,4722
1986,39,4621
1986,40,4474
1986,41,5383
1986,42,5181
1986,43,5758
1986,44,5567
1986,45,4602
1986,46,5909
1986,47,5741
1986,48,5465
1986,49,4304
1986,50,5268
1986,51,6128
1986,52,3577
1987,1,2081
1987,2,4840
1987,3,2610
1987,4,3644
1987,5,4100
1987,6,4642
1987,7,4353
1987,8,4302
1987,9,3970
1987,10,4534
1987,11,4241
1987,12,4350
1987,13,4578
1987,14,3911
1987,15,4812
1987,16,4166
1987,17,4001
1987,18,4311
1987,19,4809
1987,20,4933
1987,21,4467
1987,22,4236
1987,23,4593
1987,24,4693
1987,25,4980
1987,26,4857
1987,27,4406
1987,28,4813
1987,29,5164
1987,30,4769
1987,31,4342
1987,32,4528
1987,33,4992
1987,34,5003
1987,35,4670
1987,36,4307
1987,37,5189
1987,38,5147
1987,39,5128
1987,40,4148
1987,41,4842
1987,42,5389
1987,43,5064
1987,44,4707
1987,45,4635
1987,46,5661
1987,47,5222
1987,48,5240
1987,49,4692
1987,50,4964
1987,51,5587
1987,52,3762
1987,53,1678
1988,1,4945
1988,2,5176
1988,3,4749
1988,4,4586
1988,5,4142
1988,6,4831
1988,7,4004
1988,8,4078
1988,9,4372
1988,10,4688
1988,11,4828
1988,12,4412
1988,13,4825
1988,14,4483
1988,15,4709
1988,16,4342
1988,17,4459
1988,18,4522
1988,19,5083
1988,20,4625
1988,21,5116
1988,22,4304
1988,23,5009
1988,24,4492
1988,25,4482
1988,26,4278
1988,27,4643
1988,28,5117
1988,29,4746
1988,30,4694
1988,31,4738
1988,32,4922
1988,33,4982
1988,34,4661
1988,35,4409
1988,36,4935
1988,37,4710
1988,38,5178
1988,39,5304
1988,40,4381
1988,41,4993
1988,42,5294
1988,43,5148
1988,44,4910
1988,45,4716
1988,46,5289
1988,47,5639
1988,48,5332
1988,49,5295
1988,50,4882
1988,51,4774
1988,52,2152
1988,53,1610
1989,1,4631
1989,2,5167
1989,3,5380
1989,4,4873
1989,5,4219
1989,6,5200
1989,7,4826
1989,8,5224
1989,9,4825
1989,10,4811
1989,11,4876
1989,12,4597
1989,13,4150
1989,14,4804
1989,15,5102
1989,16,4532
1989,17,4753
1989,18,4745
1989,19,5099
1989,20,4869
1989,21,5062
1989,22,4814
1989,23,5502
1989,24,5229
1989,25,5205
1989,26,5336
1989,27,5230
1989,28,5596
1989,29,4933
1989,30,4974
1989,31,4451
1989,32,5332
1989,33,5080
1989,34,5423
1989,35,4624
1989,36,4748
1989,37,5940
1989,38,5161
1989,39,4930
1989,40,5250
1989,41,5300
1989,42,5735
1989,43,5661
1989,44,5264
1989,45,5083
1989,46,4758
1989,47,5358
1989,48,5602
1989,49,5125
1989,50,5115
1989,51,5544
1989,52,2711
1990,1,5558
1990,2,4873
1990,3,5036
1990,4,5371
1990,5,5388
1990,6,4956
1990,7,5013
1990,8,4798
1990,9,4884
1990,10,5262
1990,11,4860
1990,12,4929
1990,13,4562
1990,14,4890
1990,15,5001
1990,16,4606
1990,17,4832
1990,18,5037
1990,19,5175
1990,20,4720
1990,21,5069
1990,22,4414
1990,23,5314
1990,24,4594
1990,25,5489
1990,26,4686
1990,27,4866
1990,28,5299
1990,29,4872
1990,30,4876
1990,31,4799
1990,32,4823
1990,33,5275
1990,34,4477
1990,35,4899
1990,36,4824
1990,37,4769
1990,38,5481
1990,39,5508
1990,40,4581
1990,41,5027
1990,42,5347
1990,43,5234
1990,44,4548
1990,45,4469
1990,46,5247
1990,47,5553
1990,48,5536
1990,49,4616
1990,50,5367
1990,51,5507
1990,52,3321
1991,1,4683
1991,2,4701
1991,3,5063
1991,4,4170
1991,5,3998
1991,6,4585
1991,7,4041
1991,8,4146
1991,9,3912
1991,10,4863
1991,11,4056
1991,12,4402
1991,13,3899
1991,14,4592
1991,15,4479
1991,16,4696
1991,17,4234
1991,18,4539
1991,19,4856
1991,20,4498
1991,21,4439
1991,22,3588
1991,23,4754
1991,24,5003
1991,25,4911
1991,26,4767
1991,27,4481
1991,28,4552
1991,29,4502
1991,30,4648
1991,31,4457
1991,32,4950
1991,33,4390
1991,34,4760
1991,35,4544
1991,36,4193
1991,37,4936
1991,38,4987
1991,39,5179
1991,40,3970
1991,41,4390
1991,42,4571
1991,43,4183
1991,44,4945
1991,45,4437
1991,46,5223
1991,47,5133
1991,48,5057
1991,49,4312
1991,50,5029
1991,51,5254
1991,52,2929
1992,1,2968
1992,2,4519
1992,3,4673
1992,4,4236
1992,5,4190
1992,6,4087
1992,7,4884
1992,8,3817
1992,9,4050
1992,10,4951
1992,11,4972
1992,12,3896
1992,13,4511
1992,14,4102
1992,15,4914
1992,16,4227
1992,17,3947
1992,18,3861
1992,19,4048
1992,20,4913
1992,21,4354
1992,22,4554
1992,23,4220
1992,24,4246
1992,25,4446
1992,26,4132
1992,27,4237
1992,28,4257
1992,29,4378
1992,30,4426
1992,31,4279
1992,32,4296
1992,33,4342
1992,34,4469
1992,35,4658
1992,36,4471
1992,37,4753
1992,38,4293
1992,39,4880
1992,40,4826
1992,41,4207
1992,42,4584
1992,43,5105
1992,44,4916
1992,45,4704
1992,46,5279
1992,47,5428
1992,48,5173
1992,49,4540
1992,50,4203
1992,51,5144
1992,52,3692
1992,53,1844
1993,1,4442
1993,2,4164
1993,3,4297
1993,4,4294
1993,5,4079
1993,6,4090
1993,7,3482
1993,8,4168
1993,9,3656
1993,10,4207
1993,11,4127
1993,12,4032
1993,13,4162
1993,14,4486
1993,15,3924
1993,16,4267
1993,17,4397
1993,18,4405
1993,19,4791
1993,20,4710
1993,21,4753
1993,22,3892
1993,23,4271
1993,24,4657
1993,25,4218
1993,26,4073
1993,27,4523
1993,28,5102
1993,29,4444
1993,30,4625
1993,31,4257
1993,32,4915
1993,33,4210
1993,34,3957
1993,35,4004
1993,36,5312
1993,37,4682
1993,38,4693
1993,39,4314
1993,40,4477
1993,41,5041
1993,42,4395
1993,43,3664
1993,44,4183
1993,45,4921
1993,46,4832
1993,47,4882
1993,48,4475
1993,49,4852
1993,50,5401
1993,51,4726
1993,52,2446
1993,53,1598
1994,1,4240
1994,2,4713
1994,3,4593
1994,4,4480
1994,5,4167
1994,6,4328
1994,7,3940
1994,8,3986
1994,9,4291
1994,10,4872
1994,11,4422
1994,12,4190
1994,13,4556
1994,14,4684
1994,15,4275
1994,16,4113
1994,17,4397
1994,18,4263
1994,19,4947
1994,20,4273
1994,21,3888
1994,22,4012
1994,23,4382
1994,24,4472
1994,25,4540
1994,26,4950
1994,27,4466
1994,28,4595
1994,29,4454
1994,30,4536
1994,31,4636
1994,32,4709
1994,33,4429
1994,34,4524
1994,35,4387
1994,36,4659
1994,37,4828
1994,38,4517
1994,39,4199
1994,40,4163
1994,41,4704
1994,42,5356
1994,43,5254
1994,44,4644
1994,45,3980
1994,46,5221
1994,47,4453
1994,48,4384
1994,49,4531
1994,50,5460
1994,51,5328
1994,52,3863
1995,1,4264
1995,2,4392
1995,3,4553
1995,4,4437
1995,5,4345
1995,6,4746
1995,7,4558
1995,8,4330
1995,9,4470
1995,10,4835
1995,11,4328
1995,12,3867
1995,13,4435
1995,14,4287
1995,15,4055
1995,16,4140
1995,17,3795
1995,18,3818
1995,19,4322
1995,20,4284
1995,21,4394
1995,22,4191
1995,23,4578
1995,24,4144
1995,25,4392
1995,26,4559
1995,27,4627
1995,28,4866
1995,29,4377
1995,30,4337
1995,31,3889
1995,32,4604
1995,33,4330
1995,34,4548
1995,35,4244
1995,36,4072
1995,37,4983
1995,38,4462
1995,39,5253
1995,40,4592
1995,41,4533
1995,42,4310
1995,43,4809
1995,44,4239
1995,45,4874
1995,46,5202
1995,47,4963
1995,48,4353
1995,49,4585
1995,50,4556
1995,51,5117
1995,52,3300
1996,1,5523
1996,2,4068
1996,3,3925
1996,4,4307
1996,5,4331
1996,6,4346
1996,7,4284
1996,8,4493
1996,9,4625
1996,10,4674
1996,11,4096
1996,12,4031
1996,13,3977
1996,14,4133
1996,15,4723
1996,16,4251
1996,17,4634
1996,18,4094
1996,19,4958
1996,20,4265
1996,21,4855
1996,22,3940
1996,23,4179
1996,24,4844
1996,25,4239
1996,26,4535
1996,27,3786
1996,28,4504
1996,29,4662
1996,30,4523
1996,31,4275
1996,32,4762
1996,33,4269
1996,34,4897
1996,35,4223
1996,36,4313
1996,37,4867
1996,38,4472
1996,39,5183
1996,40,4411
1996,41,4313
1996,42,5583
1996,43,4925
1996,44,4872
1996,45,4273
1996,46,5201
1996,47,5568
1996,48,5608
1996,49,4724
1996,50,4864
1996,51,5411
1996,52,3374
1997,1,4402
1997,2,4721
1997,3,4963
1997,4,4649
1997,5,4380
1997,6,4298
1997,7,4768
1997,8,4270
1997,9,4626
1997,10,4556
1997,11,4412
1997,12,4215
1997,13,4202
1997,14,4285
1997,15,4630
1997,16,4101
1997,17,5133
1997,18,4078
1997,19,4550
1997,20,4765
1997,21,4315
1997,22,4379
1997,23,4631
1997,24,4911
1997,25,5125
1997,26,4776
1997,27,4504
1997,28,4520
1997,29,4605
1997,30,4994
1997,31,4650
1997,32,4888
1997,33,4924
1997,34,4529
1997,35,4687
1997,36,4340
1997,37,4678
1997,38,4493
1997,39,4118
1997,40,4702
1997,41,5038
1997,42,5108
1997,43,4418
1997,44,4864
1997,45,4502
1997,46,5431
1997,47,5471
1997,48,4949
1997,49,4255
1997,50,4959
1997,51,4811
1997,52,3707
1998,1,2113
1998,2,4712
1998,3,4653
1998,4,4104
1998,5,4624
1998,6,4820
1998,7,4619
1998,8,3983
1998,9,4091
1998,10,5055
1998,11,4288
1998,12,3716
1998,13,4439
1998,14,4172
1998,15,4842
1998,16,3910
1998,17,4479
1998,18,4631
1998,19,4395
1998,20,5039
1998,21,4529
1998,22,4272
1998,23,5179
1998,24,4443
1998,25,4813
1998,26,4856
1998,27,4411
1998,28,4491
1998,29,4587
1998,30,4467
1998,31,4405
1998,32,4702
1998,33,4539
1998,34,4704
1998,35,4303
1998,36,4572
1998,37,5047
1998,38,4461
1998,39,4460
1998,40,4592
1998,41,4930
1998,42,5373
1998,43,5223
1998,44,5021
1998,45,4553
1998,46,4908
1998,47,5040
1998,48,5398
1998,49,4499
1998,50,4717
1998,51,4987
1998,52,4056
1998,53,1700
1999,1,4530
1999,2,5026
1999,3,4863
1999,4,4206
1999,5,4123
1999,6,4590
1999,7,3878
1999,8,4294
1999,9,4074
1999,10,4617
1999,11,4015
1999,12,4272
1999,13,3967
1999,14,4364
1999,15,4709
1999,16,4596
1999,17,4476
1999,18,4173
1999,19,4720
1999,20,4180
1999,21,4426
1999,22,3997
1999,23,4614
1999,24,4527
1999,25,4548
1999,26,4290
1999,27,4749
1999,28,4470
1999,29,4428
1999,30,4882
1999,31,4234
1999,32,4805
1999,33,4566
1999,34,4297
1999,35,4031
1999,36,4950
1999,37,4879
1999,38,5203
1999,39,4704
1999,40,4225
1999,41,4690
1999,42,5229
1999,43,4469
1999,44,4413
1999,45,4395
1999,46,5191
1999,47,5140
1999,48,5003
1999,49,4399
1999,50,5590
1999,51,4169
1999,52,2354
1999,53,1508
2000,1,4664
2000,2,4775
2000,3,4934
2000,4,4783
2000,5,4167
2000,6,4497
2000,7,4747
2000,8,4102
2000,9,4316
2000,10,4446
2000,11,3798
2000,12,4190
2000,13,4200
2000,14,4188
2000,15,4575
2000,16,4232
2000,17,3886
2000,18,3846
2000,19,4661
2000,20,4832
2000,21,5123
2000,22,3979
2000,23,4565
2000,24,4474
2000,25,4232
2000,26,4179
2000,27,4363
2000,28,4812
2000,29,4353
2000,30,4044
2000,31,4219
2000,32,4540
2000,33,4498
2000,34,4428
2000,35,4027
2000,36,4408
2000,37,4160
2000,38,4938
2000,39,5048
2000,40,4421
2000,41,4418
2000,42,4879
2000,43,4695
2000,44,5194
2000,45,4653
2000,46,5435
2000,47,5263
2000,48,4621
2000,49,4447
2000,50,5229
2000,51,4586
2000,52,3659
2001,1,4434
2001,2,4559
2001,3,4472
2001,4,4919
2001,5,4482
2001,6,4207
2001,7,4574
2001,8,4041
2001,9,4204
2001,10,4286
2001,11,4218
2001,12,3889
2001,13,4140
2001,14,4047
2001,15,3885
2001,16,3586
2001,17,4411
2001,18,4303
2001,19,4764
2001,20,4488
2001,21,4422
2001,22,4246
2001,23,4411
2001,24,4722
2001,25,4374
2001,26,4336
2001,27,4555
2001,28,4713
2001,29,4397
2001,30,4135
2001,31,4300
2001,32,4684
2001,33,4215
2001,34,4047
2001,35,4541
2001,36,4177
2001,37,4626
2001,38,4126
2001,39,4943
2001,40,4256
2001,41,4355
2001,42,4700
2001,43,4647
2001,44,3971
2001,45,4252
2001,46,4854
2001,47,4860
2001,48,5480
2001,49,4258
2001,50,5172
2001,51,5320
2001,52,3010
2002,1,4299
2002,2,4423
2002,3,4397
2002,4,4004
2002,5,4046
2002,6,4336
2002,7,4512
2002,8,4322
2002,9,3995
2002,10,4392
2002,11,4082
2002,12,3981
2002,13,3878
2002,14,3752
2002,15,4345
2002,16,4152
2002,17,4466
2002,18,4192
2002,19,4751
2002,20,4297
2002,21,4493
2002,22,4226
2002,23,3912
2002,24,4295
2002,25,3921
2002,26,4203
2002,27,4064
2002,28,4298
2002,29,4144
2002,30,3933
2002,31,4307
2002,32,4245
2002,33,3886
2002,34,3856
2002,35,4011
2002,36,4170
2002,37,4395
2002,38,3844
2002,39,4467
2002,40,3934
2002,41,4137
2002,42,4751
2002,43,5074
2002,44,4708
2002,45,4241
2002,46,4930
2002,47,4877
2002,48,4729
2002,49,4051
2002,50,4948
2002,51,5153
2002,52,2926
2003,1,4115
2003,2,4257
2003,3,4216
2003,4,4139
2003,5,3897
2003,6,4146
2003,7,3852
2003,8,4087
2003,9,4122
2003,10,3852
2003,11,4194
2003,12,3829
2003,13,3551
2003,14,4022
2003,15,3998
2003,16,3704
2003,17,3739
2003,18,3968
2003,19,3900
2003,20,4465
2003,21,4000
2003,22,3734
2003,23,4018
2003,24,4354
2003,25,4142
2003,26,4241
2003,27,4524
2003,28,4203
2003,29,4381
2003,30,4226
2003,31,3949
2003,32,4063
2003,33,4081
2003,34,3826
2003,35,3834
2003,36,3856
2003,37,4191
2003,38,4388
2003,39,4542
2003,40,4040
2003,41,4464
2003,42,4083
2003,43,4587
2003,44,4798
2003,45,4002
2003,46,4256
2003,47,4444
2003,48,5035
2003,49,3827
2003,50,4213
2003,51,4726
2003,52,2949
2004,1,1889
2004,2,4117
2004,3,4625
2004,4,4189
2004,5,3568
2004,6,4065
2004,7,4133
2004,8,3374
2004,9,3976
2004,10,3566
2004,11,4091
2004,12,3683
2004,13,3566
2004,14,3629
2004,15,4199
2004,16,3774
2004,17,3961
2004,18,3930
2004,19,3918
2004,20,3844
2004,21,4289
2004,22,3972
2004,23,3763
2004,24,4205
2004,25,4182
2004,26,4281
2004,27,3698
2004,28,4205
2004,29,4000
2004,30,3827
2004,31,3851
2004,32,3612
2004,33,4364
2004,34,4014
2004,35,3872
2004,36,3432
2004,37,4334
2004,38,4426
2004,39,4081
2004,40,3805
2004,41,3960
2004,42,4640
2004,43,4544
2004,44,3868
2004,45,3399
2004,46,3931
2004,47,4559
2004,48,4102
2004,49,4096
2004,50,3904
2004,51,4673
2004,52,3540
2004,53,1884
2005,1,3786
2005,2,4118
2005,3,4145
2005,4,3938
2005,5,3442
2005,6,3927
2005,7,3487
2005,8,3560
2005,9,3392
2005,10,3489
2005,11,3561
2005,12,3300
2005,13,3354
2005,14,3532
2005,15,3825
2005,16,3728
2005,17,4081
2005,18,3713
2005,19,3918
2005,20,3968
2005,21,3942
2005,22,3465
2005,23,3637
2005,24,3947
2005,25,4140
2005,26,3874
2005,27,3819
2005,28,4271
2005,29,3620
2005,30,3777
2005,31,3639
2005,32,4136
2005,33,3620
2005,34,3862
2005,35,3481
2005,36,3787
2005,37,4143
2005,38,3828
2005,39,4204
2005,40,3668
2005,41,3908
2005,42,4132
2005,43,4089
2005,44,3955
2005,45,3739
2005,46,4431
2005,47,4229
2005,48,3903
2005,49,4078
2005,50,4369
2005,51,3751
2005,52,2091
2005,53,936
2006,1,3671
2006,2,3863
2006,3,3514
2006,4,3614
2006,5,3287
2006,6,3872
2006,7,3412
2006,8,3346
2006,9,3775
2006,10,3708
2006,11,2893
2006,12,3372
2006,13,3530
2006,14,3450
2006,15,3376
2006,16,3027
2006,17,3319
2006,18,3420
2006,19,3562
2006,20,3775
2006,21,3669
2006,22,3464
2006,23,3785
2006,24,3792
2006,25,3517
2006,26,3688
2006,27,3802
2006,28,3994
2006,29,3865
2006,30,3590
2006,31,3744
2006,32,3890
2006,33,3564
2006,34,3359
2006,35,3427
2006,36,3602
2006,37,3989
2006,38,4077
2006,39,4000
2006,40,3861
2006,41,3683
2006,42,3923
2006,43,3687
2006,44,3629
2006,45,3873
2006,46,4112
2006,47,4165
2006,48,3660
2006,49,3706
2006,50,3978
2006,51,3881
2006,52,2399
2007,1,3714
2007,2,3314
2007,3,3653
2007,4,3860
2007,5,3847
2007,6,3654
2007,7,2889
2007,8,3117
2007,9,3300
2007,10,3470
2007,11,3575
2007,12,3267
2007,13,3354
2007,14,3233
2007,15,3382
2007,16,3532
2007,17,3522
2007,18,3633
2007,19,3732
2007,20,3507
2007,21,3689
2007,22,3451
2007,23,3409
2007,24,4037
2007,25,3678
2007,26,3618
2007,27,3409
2007,28,3624
2007,29,3630
2007,30,3511
2007,31,3305
2007,32,3388
2007,33,3610
2007,34,3230
2007,35,3176
2007,36,3350
2007,37,3573
2007,38,3613
2007,39,3754
2007,40,3289
2007,41,3526
2007,42,3600
2007,43,3245
2007,44,3418
2007,45,3519
2007,46,4074
2007,47,3941
2007,48,3993
2007,49,3392
2007,50,3735
2007,51,3826
2007,52,1947
2008,1,3467
2008,2,3517
2008,3,3492
2008,4,3218
2008,5,3038
2008,6,3419
2008,7,3422
2008,8,3337
2008,9,3156
2008,10,3333
2008,11,3430
2008,12,2855
2008,13,2862
2008,14,3365
2008,15,3364
2008,16,2914
2008,17,3176
2008,18,3288
2008,19,3446
2008,20,3412
2008,21,3132
2008,22,2945
2008,23,3299
2008,24,3223
2008,25,3360
2008,26,3330
2008,27,3426
2008,28,3357
2008,29,3015
2008,30,3222
2008,31,3329
2008,32,3386
2008,33,3212
2008,34,2976
2008,35,2816
2008,36,3501
2008,37,3325
2008,38,3326
2008,39,3321
2008,40,3310
2008,41,3567
2008,42,3231
2008,43,3576
2008,44,3840
2008,45,3387
2008,46,3465
2008,47,3377
2008,48,3644
2008,49,3445
2008,50,3285
2008,51,3363
2008,52,2089
2009,1,1331
2009,2,3499
2009,3,3395
2009,4,3403
2009,5,2977
2009,6,3221
2009,7,3228
2009,8,2618
2009,9,2543
2009,10,3000
2009,11,3244
2009,12,3041
2009,13,3020
2009,14,2694
2009,15,3417
2009,16,2649
2009,17,3178
2009,18,3165
2009,19,3128
2009,20,3199
2009,21,3341
2009,22,3075
2009,23,3292
2009,24,3274
2009,25,3240
2009,26,3202
2009,27,3021
2009,28,3312
2009,29,3310
2009,30,3031
2009,31,2988
2009,32,3238
2009,33,3164
2009,34,3083
2009,35,3094
2009,36,2922
2009,37,3284
2009,38,3196
2009,39,3241
2009,40,3004
2009,41,3379
2009,42,3298
2009,43,3443
2009,44,2987
2009,45,3438
2009,46,3483
2009,47,3444
2009,48,3618
2009,49,3262
2009,50,3286
2009,51,3439
2009,52,2161
2009,53,1054
2010,1,3366
2010,2,2415
2010,3,2565
2010,4,2959
2010,5,2948
2010,6,2703
2010,7,2933
2010,8,2791
2010,9,2679
2010,10,2863
2010,11,2783
2010,12,2879
2010,13,2815
2010,14,3205
2010,15,2717
2010,16,2969
2010,17,3209
2010,18,2769
2010,19,3121
2010,20,3214
2010,21,3351
2010,22,2379
2010,23,3024
2010,24,3118
2010,25,3428
2010,26,2718
2010,27,3070
2010,28,2983
2010,29,2960
2010,30,2917
2010,31,2991
2010,32,3210
2010,33,2987
2010,34,3082
2010,35,2660
2010,36,3259
2010,37,3156
2010,38,3282
2010,39,3147
2010,40,3064
2010,41,3130
2010,42,3321
2010,43,3172
2010,44,2734
2010,45,3020
2010,46,3556
2010,47,3234
2010,48,2852
2010,49,3116
2010,50,2976
2010,51,2047
2010,52,1020
2010,53,1547
2011,1,2916
2011,2,2922
2011,3,3010
2011,4,2614
2011,5,2580
2011,6,3143
2011,7,2768
2011,8,2572
2011,9,2842
2011,10,2707
2011,11,2723
2011,12,2874
2011,13,3044
2011,14,2999
2011,15,2753
2011,16,2867
2011,17,2714
2011,18,2679
2011,19,2890
2011,20,2780
2011,21,2896
2011,22,2664
2011,23,3196
2011,24,3127
2011,25,3015
2011,26,3044
2011,27,3088
2011,28,3097
2011,29,2915
2011,30,2845
2011,31,3223
2011,32,2820
2011,33,2714
2011,34,2875
2011,35,2858
2011,36,2966
2011,37,3339
2011,38,2917
2011,39,3591
2011,40,2944
2011,41,3004
2011,42,3054
2011,43,3099
2011,44,2969
2011,45,2693
2011,46,2977
2011,47,2960
2011,48,3015
2011,49,2861
2011,50,3563
2011,51,2560
2011,52,2188
